annual_spending,purchase_frequency
1997.79257046734,33
4763.428670767597,40
3713.5709206947445,33
3073.5607241457756,5
948.8894741236953,31
948.7736976137727,38
478.80133840735743,24
4357.645499719689,40
3085.3520563674024,46
3598.748373421018,16
298.8055726198518,44
4855.567290377573,30
4195.724675842024,37
1219.2277312557255,14
1072.759842594083,33
1080.3416472964823,8
1660.362766205781,23
2718.8308718347416,29
2273.336089482156,3
1597.899872950601,43
3136.8938946674216,46
869.5705311298008,7
1602.294312969047,29
1958.5368478097203,29
2389.1359242417725,45
3968.8446146864653,45
1158.4341543601267,21
2668.3253043853356,31
3043.589930537804,12
422.9619810559891,29
3116.2152891269043,26
1018.5157936989993,40
512.2476463293417,34
4754.650578815999,2
4835.033758757885,28
4080.3072709590133,14
1662.1460920321792,42
668.8261472306426,4
3484.3185272583532,40
2312.7319699500863,7
785.7835272549383,9
2576.849168534097,28
365.0649013530483,10
4564.737929978154,38
1442.1439116800811,34
3380.1069648991133,43
1696.2131652291725,45
2696.326501653492,25
2824.209340847742,16
1087.3013865225298,33
4854.006213269881,33
3920.63755213335,25
4709.5949195081075,42
4495.171282052715,13
3069.9198982932085,40
4624.99632811096,3
624.7640098492136,4
1140.7177396118968,38
417.09098677058273,18
1761.5855876636688,3
2065.6509905095136,3
1502.4753525147003,29
4177.94004392926,24
1912.4159681292285,38
1548.4856464994277,33
2804.9411991595925,34
876.4362798788607,2
4050.5455076193903,20
557.8430896629,3
4937.057295682483,45
3906.7748926239556,27
1153.8352713640274,33
226.50616219329152,7
4114.214856583204,33
3592.915250468562,5
3699.234406596739,12
3902.0976640925396,18
555.4143283236338,39
1920.6354970125085,25
756.1714857206226,6
4342.896444202849,35
3191.831008772278,7
1788.310519292716,23
505.08008137291347,12
1692.7151442351785,49
1760.8799457283858,17
3702.1096560227074,34
3260.275862505023,10
4458.621164366367,7
2466.6316407773566,17
774.0523805038482,30
3623.574978670376,4
3851.768233361108,21
2894.130548333582,37
3900.6424637818927,20
2570.2188625490758,27
2709.1175810335717,4
2252.1968881210382,20
322.0118083716569,21
717.8788495678614,33
